year,state_fips,county_fips,totperm,totval,units_1unit,value_1unit,units_2unit,value_2unit,units_3to4unit,value_3to4unit,units_5punit,value_5punit,source
1992,08,067,394,30429090,380,29627495,8,350407,0,0,6,451188,census_bps_county
1992,08,069,1928,149240250,1740,142524832,32,1868509,15,724218,141,4122691,census_bps_county
1992,08,071,43,2213380,43,2213380,0,0,0,0,0,0,census_bps_county
1992,08,073,4,308038,4,308038,0,0,0,0,0,0,census_bps_county
1992,08,075,8,858492,8,858492,0,0,0,0,0,0,census_bps_county
1992,08,077,563,45849130,535,44465657,28,1383473,0,0,0,0,census_bps_county
1992,08,079,15,700500,15,700500,0,0,0,0,0,0,census_bps_county
1992,08,081,17,1957554,17,1957554,0,0,0,0,0,0,census_bps_county
1992,08,083,24,1234785,20,1129785,4,105000,0,0,0,0,census_bps_county
1992,08,085,182,9286533,164,8275685,6,347248,6,288600,6,375000,census_bps_county
1992,08,087,57,3549795,57,3549795,0,0,0,0,0,0,census_bps_county
1992,08,089,20,1084546,12,844546,0,0,0,0,8,240000,census_bps_county
1992,08,091,67,6396308,61,5892207,2,213257,4,290844,0,0,census_bps_county
1992,08,093,182,12847985,182,12847985,0,0,0,0,0,0,census_bps_county
1992,08,095,7,712620,7,712620,0,0,0,0,0,0,census_bps_county
1992,08,097,127,47616077,89,44918258,2,558079,14,1139740,22,1000000,census_bps_county
1992,08,099,4,338970,4,338970,0,0,0,0,0,0,census_bps_county
1992,08,101,246,27437254,238,27056014,8,381240,0,0,0,0,census_bps_county
1992,08,103,21,5373459,21,5373459,0,0,0,0,0,0,census_bps_county
1992,08,105,21,1632384,21,1632384,0,0,0,0,0,0,census_bps_county
1992,08,107,223,31707333,186,28320143,10,831190,8,946498,19,1609502,census_bps_county
1992,08,109,20,680000,0,0,0,0,0,0,20,680000,census_bps_county
1992,08,111,4,289320,4,289320,0,0,0,0,0,0,census_bps_county
1992,08,113,169,37046695,157,34328526,12,2718169,0,0,0,0,census_bps_county
1992,08,115,1,119000,1,119000,0,0,0,0,0,0,census_bps_county
1992,08,117,298,53881218,275,51796245,20,1712241,3,372732,0,0,census_bps_county
1992,08,119,195,10970563,191,10774563,4,196000,0,0,0,0,census_bps_county
1992,08,121,2,92000,2,92000,0,0,0,0,0,0,census_bps_county
1992,08,123,521,41784703,509,41391201,0,0,4,210690,8,182812,census_bps_county
1992,08,125,3,235000,3,235000,0,0,0,0,0,0,census_bps_county
1993,08,001,2489,182805749,1909,162149019,38,2045346,4,263605,538,18347779,census_bps_county
1993,08,003,75,3507555,33,2395187,0,0,0,0,42,1112368,census_bps_county
1993,08,005,2987,316544553,2242,283265967,4,734442,3,132890,738,32411254,census_bps_county
1993,08,007,101,11643910,101,11643910,0,0,0,0,0,0,census_bps_county
1993,08,009,3,75000,3,75000,0,0,0,0,0,0,census_bps_county
1993,08,011,5,232000,5,232000,0,0,0,0,0,0,census_bps_county
1993,08,013,3067,331372500,2852,322340781,12,893891,19,951512,184,7186316,census_bps_county
1993,08,015,117,6744051,117,6744051,0,0,0,0,0,0,census_bps_county
1993,08,017,5,287711,5,287711,0,0,0,0,0,0,census_bps_county
1993,08,019,71,8535814,71,8535814,0,0,0,0,0,0,census_bps_county
1993,08,021,0,0,0,0,0,0,0,0,0,0,census_bps_county
1993,08,025,0,0,0,0,0,0,0,0,0,0,census_bps_county
1993,08,027,66,6204726,66,6204726,0,0,0,0,0,0,census_bps_county
1993,08,029,45,2571167,41,2423003,4,148164,0,0,0,0,census_bps_county
1993,08,031,998,65550831,343,39513593,32,3970174,4,618500,619,21448564,census_bps_county
1993,08,033,8,752088,8,752088,0,0,0,0,0,0,census_bps_county
1993,08,035,3295,546167663,3295,546167663,0,0,0,0,0,0,census_bps_county
1993,08,037,916,118501630,357,62536323,122,19241825,80,8597842,357,28125640,census_bps_county
1993,08,039,368,33559218,368,33559218,0,0,0,0,0,0,census_bps_county
1993,08,041,3715,318511803,3632,314880181,6,310000,15,747569,62,2574053,census_bps_county
1993,08,043,210,14633508,206,14358508,4,275000,0,0,0,0,census_bps_county
1993,08,045,378,31682612,354,30148346,8,851485,16,682781,0,0,census_bps_county
1993,08,047,32,3658642,32,3658642,0,0,0,0,0,0,census_bps_county
1993,08,049,132,9286429,124,8595363,2,52398,0,0,6,638668,census_bps_county
1993,08,051,257,25884217,207,22551479,8,613712,24,1822768,18,896258,census_bps_county
1993,08,053,19,1798867,19,1798867,0,0,0,0,0,0,census_bps_county
1993,08,055,31,2172975,31,2172975,0,0,0,0,0,0,census_bps_county
1993,08,057,6,375520,6,375520,0,0,0,0,0,0,census_bps_county
1993,08,059,3205,329620353,3054,320294009,6,441849,24,1450378,121,7434117,census_bps_county
1993,08,061,0,0,0,0,0,0,0,0,0,0,census_bps_county
1993,08,063,1,94011,1,94011,0,0,0,0,0,0,census_bps_county
1993,08,065,9,658754,9,658754,0,0,0,0,0,0,census_bps_county
